Ticket_ID,Passenger_Name,Train_No,Route_Name,Departure_Station,Arrival_Station,Journey_Date,Booking_Date,Train_Class,Distance_km,Fare_Rs,Delay_Minutes,Payment_Method,Booking_Source,Age,Gender
2ece866d-1691-4cbe-860a-2369c25e6f11,Neysa Dayal,TR7868,Ahmedabad-Jaipur,Kolkata,Bangalore,2025-04-06,2025-03-25,AC 2 Tier,371.8,1871.77,15,Credit Card,Railway Counter,39,Male
92258efb-80c9-4bc0-8d07-5e8c709fe2f5,Fateh Dayal,TR3415,Lucknow-Patna,Delhi,Lucknow,2024-12-20,2024-11-12,AC First Class,123.0,1398.29,0,UPI,IRCTC Website,75,Female
0122ccb9-6581-4ab0-9e75-b97492889160,Ryan Kamdar,TR7581,Delhi-Mumbai,Patna,Lucknow,2025-03-27,2025-03-12,AC 2 Tier,1673.7,814.72,5,Net Banking,Travel Agent,74,Female
39c23561-fec5-4603-8415-87616a90e5bf,Pihu Borra,TR9271,Kolkata-Chennai,Delhi,Kolkata,2025-03-12,2025-01-15,AC 3 Tier,1894.0,1012.61,0,Cash,IRCTC Website,39,Male
0d60bd97-b68f-4789-93c7-059b1fa5c130,Ranbir Chatterjee,TR9197,Ahmedabad-Jaipur,Mumbai,Bangalore,2025-05-06,2025-03-03,Sleeper,120.8,912.07,15,Debit Card,Travel Agent,54,Male
78b0c4a4-33cb-4a3d-bafa-f42cbba08375,Kabir De,TR8143,Lucknow-Patna,Chennai,Bangalore,2025-05-11,2025-04-28,AC 3 Tier,803.3,450.72,90,Cash,Railway Counter,24,Male
9ffcc2c8-1592-4b5d-92df-c1b5bcf69ed2,Pranay Gole,TR6654,Ahmedabad-Jaipur,Jaipur,Delhi,2025-04-25,2025-03-21,AC First Class,1312.0,1109.47,0,Credit Card,Travel Agent,62,Male
55c0f3db-97eb-4317-a51e-227a3a7bc504,Divit Kapoor,TR5320,Delhi-Mumbai,Kolkata,Mumbai,2025-02-02,2025-01-20,Second Sitting,1217.1,2021.24,5,Debit Card,Mobile App,10,Female
6f2877ac-eaf2-4881-8bd2-a2020a23646b,Fateh Sandal,TR3673,Delhi-Mumbai,Kolkata,Delhi,2025-04-02,2025-03-20,AC 2 Tier,889.3,2071.06,15,UPI,IRCTC Website,13,Other
d18a932d-b8a1-478f-a9f5-06c750614728,Kaira Handa,TR9672,Lucknow-Patna,Delhi,Lucknow,2025-04-26,2025-02-21,AC 3 Tier,153.4,1377.9,0,Credit Card,Travel Agent,24,Male
07bde35f-f775-4b82-9c13-07bd8fee1c4c,Vanya Sane,TR7493,Kolkata-Chennai,Bangalore,Chennai,2025-05-17,2025-04-22,AC 3 Tier,362.3,2330.39,30,Credit Card,Mobile App,30,Other
c7cde161-268b-4bdc-bb6b-6414414f9072,Vedika Ghose,TR6466,Kolkata-Chennai,Chennai,Mumbai,2025-05-02,2025-04-21,Sleeper,116.4,785.22,120,Credit Card,IRCTC Website,55,Female
89d4133f-e630-4807-822a-09fea1184923,Aaina Borra,TR3700,Kolkata-Chennai,Bangalore,Delhi,2025-04-21,2024-11-17,Second Sitting,1783.1,1023.24,60,Debit Card,Travel Agent,70,Other
3b816647-db82-4dd5-adf2-b1a0b82f32ad,Shray Sami,TR8844,Kolkata-Chennai,Kolkata,Chennai,2025-02-21,2024-11-12,Second Sitting,1635.3,593.3,60,Cash,Railway Counter,28,Other
cf77b4d9-6cfd-485d-83b1-b342033e6e1c,Hansh Mann,TR2108,Hyderabad-Bangalore,Lucknow,Kolkata,2025-02-14,2025-01-09,AC 3 Tier,1649.5,1334.03,60,Debit Card,Travel Agent,34,Female
8a4e970e-c496-4823-b03d-533dd6ab4f71,Ehsaan Bobal,TR1413,Ahmedabad-Jaipur,Jaipur,Delhi,2025-05-29,2025-04-24,Second Sitting,1421.3,1010.14,120,Debit Card,Mobile App,37,Male
d862ac61-3370-4a57-b001-56cdb6fea833,Parinaaz Karnik,TR6389,Kolkata-Chennai,Patna,Mumbai,2025-04-22,2025-03-04,AC First Class,492.0,2119.62,15,UPI,IRCTC Website,25,Other
88a82241-8422-44bb-a491-08420b834e7c,Samarth Sen,TR6657,Kolkata-Chennai,Lucknow,Chennai,2024-12-04,2024-11-13,AC 3 Tier,967.8,543.93,15,Net Banking,Railway Counter,34,Male
140a6450-8de6-4120-a27e-9241b598a6e6,Nehmat Mand,TR4413,Lucknow-Patna,Jaipur,Patna,2025-04-06,2024-12-20,AC First Class,1864.5,2017.83,10,Net Banking,Railway Counter,67,Male
72bd71b0-7449-4030-b7a0-86f3f818d1ed,Samar Badal,TR4045,Ahmedabad-Jaipur,Mumbai,Chennai,2025-03-17,2025-02-08,AC First Class,1805.9,1788.62,0,Credit Card,IRCTC Website,26,Other
01ffb775-91dd-4ce7-b386-d7d0e519837e,Diya Behl,TR2306,Kolkata-Chennai,Mumbai,Bangalore,2025-03-25,2024-12-20,AC First Class,937.9,966.48,30,Debit Card,Railway Counter,12,Male
3f077bf9-0ce6-439d-ab10-5fa677e3410e,Uthkarsh Tandon,TR2330,Kolkata-Chennai,Patna,Bangalore,2025-05-09,2025-05-01,Second Sitting,225.3,1954.43,5,Debit Card,Travel Agent,21,Other
1e82a6e0-ff94-4dd7-be4a-b3d583e10822,Anaya Chaudhari,TR5947,Kolkata-Chennai,Delhi,Lucknow,2025-04-13,2025-04-09,Sleeper,916.3,1843.91,60,Credit Card,Mobile App,26,Female
